number,name,status
PEP 1 – PEP Purpose and Guidelines,PEP 1 – PEP Purpose and Guidelines,Active
PEP 20 – The Zen of Python,PEP 20 – The Zen of Python,Active
PEP 13 – Python Language Governance,PEP 13 – Python Language Governance,Active
PEP 160 – Python 1.6 Release Schedule,PEP 160 – Python 1.6 Release Schedule,Final
PEP 42 – Feature Requests,PEP 42 – Feature Requests,Withdrawn
PEP 100 – Python Unicode Integration,PEP 100 – Python Unicode Integration,Final
PEP 200 – Python 2.0 Release Schedule,PEP 200 – Python 2.0 Release Schedule,Final
PEP 101 – Doing Python Releases 101,PEP 101 – Doing Python Releases 101,Active
PEP 102 – Doing Python Micro Releases,PEP 102 – Doing Python Micro Releases,Superseded
PEP 103 – Collecting information about git,PEP 103 – Collecting information about git,Withdrawn
PEP 11 – CPython platform support,PEP 11 – CPython platform support,Active
PEP 12 – Sample reStructuredText PEP Template,PEP 12 – Sample reStructuredText PEP Template,Active
PEP 10 – Voting Guidelines,PEP 10 – Voting Guidelines,Active
PEP 7 – Style Guide for C Code,PEP 7 – Style Guide for C Code,Active
PEP 9 – Sample Plaintext PEP Template,PEP 9 – Sample Plaintext PEP Template,Withdrawn
PEP 362 – Function Signature Object,PEP 362 – Function Signature Object,Final
PEP 8 – Style Guide for Python Code,PEP 8 – Style Guide for Python Code,Active
PEP 266 – Optimizing Global Variable/Attribute Access,PEP 266 – Optimizing Global Variable/Attribute Access,Withdrawn
PEP 457 – Notation For Positional-Only Parameters,PEP 457 – Notation For Positional-Only Parameters,Final
PEP 435 – Adding an Enum type to the Python standard library,PEP 435 – Adding an Enum type to the Python standard library,Final
PEP 458 – Secure PyPI downloads with signed repository metadata,PEP 458 – Secure PyPI downloads with signed repository metadata,Accepted
PEP 479 – Change StopIteration handling inside generators,PEP 479 – Change StopIteration handling inside generators,Final
PEP 478 – Python 3.5 Release Schedule,PEP 478 – Python 3.5 Release Schedule,Final
PEP 477 – Backport ensurepip (PEP 453) to Python 2.7,PEP 477 – Backport ensurepip (PEP 453) to Python 2.7,Final
PEP 476 – Enabling certificate verification by default for stdlib http clients,PEP 476 – Enabling certificate verification by default for stdlib http clients,Final
PEP 496 – Environment Markers,PEP 496 – Environment Markers,Rejected
PEP 495 – Local Time Disambiguation,PEP 495 – Local Time Disambiguation,Final
PEP 511 – API for code transformers,PEP 511 – API for code transformers,Rejected
PEP 480 – Surviving a Compromise of PyPI: End-to-end signing of packages,PEP 480 – Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
PEP 530 – Asynchronous Comprehensions,PEP 530 – Asynchronous Comprehensions,Final
PEP 529 – Change Windows filesystem encoding to UTF-8,PEP 529 – Change Windows filesystem encoding to UTF-8,Final
PEP 528 – Change Windows console encoding to UTF-8,PEP 528 – Change Windows console encoding to UTF-8,Final
PEP 527 – Removing Un(der)used file types/extensions on PyPI,PEP 527 – Removing Un(der)used file types/extensions on PyPI,Final
PEP 551 – Security transparency in the Python runtime,PEP 551 – Security transparency in the Python runtime,Withdrawn
PEP 526 – Syntax for Variable Annotations,PEP 526 – Syntax for Variable Annotations,Final
PEP 553 – Built-in breakpoint(),PEP 553 – Built-in breakpoint(),Final
PEP 552 – Deterministic pycs,PEP 552 – Deterministic pycs,Final
PEP 577 – Augmented Assignment Expressions,PEP 577 – Augmented Assignment Expressions,Withdrawn
PEP 576 – Rationalize Built-in function classes,PEP 576 – Rationalize Built-in function classes,Withdrawn
PEP 575 – Unifying function/method classes,PEP 575 – Unifying function/method classes,Withdrawn
PEP 574 – Pickle protocol 5 with out-of-band data,PEP 574 – Pickle protocol 5 with out-of-band data,Final
PEP 597 – Add optional EncodingWarning,PEP 597 – Add optional EncodingWarning,Final
PEP 596 – Python 3.9 Release Schedule,PEP 596 – Python 3.9 Release Schedule,Active
PEP 595 – Improving bugs.python.org,PEP 595 – Improving bugs.python.org,Withdrawn
PEP 594 – Removing dead batteries from the standard library,PEP 594 – Removing dead batteries from the standard library,Final
PEP 616 – String methods to remove prefixes and suffixes,PEP 616 – String methods to remove prefixes and suffixes,Final
PEP 614 – Relaxing Grammar Restrictions On Decorators,PEP 614 – Relaxing Grammar Restrictions On Decorators,Final
PEP 613 – Explicit Type Aliases,PEP 613 – Explicit Type Aliases,Accepted
PEP 640 – Unused variable syntax,PEP 640 – Unused variable syntax,Rejected
PEP 638 – Syntactic Macros,PEP 638 – Syntactic Macros,Draft
PEP 637 – Support for indexing with keyword arguments,PEP 637 – Support for indexing with keyword arguments,Rejected
PEP 615 – Support for the IANA Time Zone Database in the Standard Library,PEP 615 – Support for the IANA Time Zone Database in the Standard Library,Accepted
PEP 660 – Editable installs for pyproject.toml based builds (wheel based),PEP 660 – Editable installs for pyproject.toml based builds (wheel based),Final
PEP 659 – Specializing Adaptive Interpreter,PEP 659 – Specializing Adaptive Interpreter,Draft
PEP 658 – Serve Distribution Metadata in the Simple Repository API,PEP 658 – Serve Distribution Metadata in the Simple Repository API,Accepted
PEP 639 – Improving License Clarity with Better Package Metadata,PEP 639 – Improving License Clarity with Better Package Metadata,Draft
PEP 698 – Override Decorator for Static Typing,PEP 698 – Override Decorator for Static Typing,Accepted
PEP 674 – Disallow using macros as l-values,PEP 674 – Disallow using macros as l-values,Deferred
PEP 700 – Additional Fields for the Simple API for Package Indexes,PEP 700 – Additional Fields for the Simple API for Package Indexes,Accepted
PEP 675 – Arbitrary Literal String Type,PEP 675 – Arbitrary Literal String Type,Accepted
PEP 657 – Include Fine Grained Error Locations in Tracebacks,PEP 657 – Include Fine Grained Error Locations in Tracebacks,Final
PEP 677 – Callable Type Syntax,PEP 677 – Callable Type Syntax,Rejected
PEP 676 – PEP Infrastructure Process,PEP 676 – PEP Infrastructure Process,Active
PEP 699 – Remove private dict version field added in PEP 509,PEP 699 – Remove private dict version field added in PEP 509,Accepted
PEP 715 – Disabling bdist_egg distribution uploads on PyPI,PEP 715 – Disabling bdist_egg distribution uploads on PyPI,Final
PEP 719 – Python 3.13 Release Schedule,PEP 719 – Python 3.13 Release Schedule,Active
PEP 718 – Subscriptable functions,PEP 718 – Subscriptable functions,Draft
PEP 3111 – Simple input built-in in Python 3000,PEP 3111 – Simple input built-in in Python 3000,Final
PEP 3110 – Catching Exceptions in Python 3000,PEP 3110 – Catching Exceptions in Python 3000,Final
PEP 3109 – Raising Exceptions in Python 3000,PEP 3109 – Raising Exceptions in Python 3000,Final
PEP 720 – Cross-compiling Python packages,PEP 720 – Cross-compiling Python packages,Draft
PEP 8000 – Python Language Governance Proposal Overview,PEP 8000 – Python Language Governance Proposal Overview,Final
PEP 3108 – Standard Library Reorganization,PEP 3108 – Standard Library Reorganization,Final
PEP 8010 – The Technical Leader Governance Model,PEP 8010 – The Technical Leader Governance Model,Rejected
PEP 8001 – Python Governance Voting Process,PEP 8001 – Python Governance Voting Process,Final
PEP 8104 – 2023 Term Steering Council election,PEP 8104 – 2023 Term Steering Council election,Active
PEP 8103 – 2022 Term Steering Council election,PEP 8103 – 2022 Term Steering Council election,Final
PEP 3333 – Python Web Server Gateway Interface v1.0.1,PEP 3333 – Python Web Server Gateway Interface v1.0.1,Final
PEP 3155 – Qualified name for classes and functions,PEP 3155 – Qualified name for classes and functions,Final
PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Final
PEP 8016 – The Steering Council Model,PEP 8016 – The Steering Council Model,Accepted
PEP 8014 – The Commons Governance Model,PEP 8014 – The Commons Governance Model,Rejected
PEP 8101 – 2020 Term Steering Council election,PEP 8101 – 2020 Term Steering Council election,Final
PEP 8102 – 2021 Term Steering Council election,PEP 8102 – 2021 Term Steering Council election,Final
PEP 8015 – Organization of the Python community,PEP 8015 – Organization of the Python community,Rejected
PEP 8100 – January 2019 Steering Council election,PEP 8100 – January 2019 Steering Council election,Final
PEP 8013 – The External Council Governance Model,PEP 8013 – The External Council Governance Model,Rejected
PEP 8012 – The Community Governance Model,PEP 8012 – The Community Governance Model,Rejected
PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,Rejected
PEP 3153 – Asynchronous IO support,PEP 3153 – Asynchronous IO support,Superseded
PEP 3154 – Pickle protocol version 4,PEP 3154 – Pickle protocol version 4,Final
PEP 3152 – Cofunctions,PEP 3152 – Cofunctions,Rejected
PEP 3151 – Reworking the OS and IO exception hierarchy,PEP 3151 – Reworking the OS and IO exception hierarchy,Final
PEP 3150 – Statement local namespaces (aka “given” clause),PEP 3150 – Statement local namespaces (aka “given” clause),Deferred
PEP 3149 – ABI version tagged .so files,PEP 3149 – ABI version tagged .so files,Final
PEP 3148 – futures - execute computations asynchronously,PEP 3148 – futures - execute computations asynchronously,Final
PEP 3147 – PYC Repository Directories,PEP 3147 – PYC Repository Directories,Final
PEP 3146 – Merging Unladen Swallow into CPython,PEP 3146 – Merging Unladen Swallow into CPython,Withdrawn
PEP 3145 – Asynchronous I/O For subprocess.Popen,PEP 3145 – Asynchronous I/O For subprocess.Popen,Withdrawn
PEP 3143 – Standard daemon process library,PEP 3143 – Standard daemon process library,Deferred
PEP 3138 – String representation in Python 3000,PEP 3138 – String representation in Python 3000,Final
PEP 3144 – IP Address Manipulation Library for the Python Standard Library,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,Final
PEP 3141 – A Type Hierarchy for Numbers,PEP 3141 – A Type Hierarchy for Numbers,Final
PEP 3142 – Add a “while” clause to generator expressions,PEP 3142 – Add a “while” clause to generator expressions,Rejected
"PEP 3140 – str(container) should call str(item), not repr(item)","PEP 3140 – str(container) should call str(item), not repr(item)",Rejected
PEP 3139 – Cleaning out sys and the “interpreter” module,PEP 3139 – Cleaning out sys and the “interpreter” module,Rejected
PEP 3137 – Immutable Bytes and Mutable Buffer,PEP 3137 – Immutable Bytes and Mutable Buffer,Final
PEP 3136 – Labeled break and continue,PEP 3136 – Labeled break and continue,Rejected
PEP 3135 – New Super,PEP 3135 – New Super,Final
PEP 3134 – Exception Chaining and Embedded Tracebacks,PEP 3134 – Exception Chaining and Embedded Tracebacks,Final
PEP 3133 – Introducing Roles,PEP 3133 – Introducing Roles,Rejected
PEP 3132 – Extended Iterable Unpacking,PEP 3132 – Extended Iterable Unpacking,Final
PEP 3131 – Supporting Non-ASCII Identifiers,PEP 3131 – Supporting Non-ASCII Identifiers,Final
PEP 8002 – Open Source Governance Survey,PEP 8002 – Open Source Governance Survey,Final
PEP 3130 – Access to Current Module/Class/Function,PEP 3130 – Access to Current Module/Class/Function,Rejected
PEP 3125 – Remove Backslash Continuation,PEP 3125 – Remove Backslash Continuation,Rejected
PEP 3129 – Class Decorators,PEP 3129 – Class Decorators,Final
PEP 3126 – Remove Implicit String Concatenation,PEP 3126 – Remove Implicit String Concatenation,Rejected
PEP 3128 – BList: A Faster List-like Type,PEP 3128 – BList: A Faster List-like Type,Rejected
"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation","PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
PEP 3127 – Integer Literal Support and Syntax,PEP 3127 – Integer Literal Support and Syntax,Final
PEP 3123 – Making PyObject_HEAD conform to standard C,PEP 3123 – Making PyObject_HEAD conform to standard C,Final
PEP 3122 – Delineation of the main module,PEP 3122 – Delineation of the main module,Rejected
PEP 3117 – Postfix type declarations,PEP 3117 – Postfix type declarations,Rejected
PEP 3120 – Using UTF-8 as the default source encoding,PEP 3120 – Using UTF-8 as the default source encoding,Final
PEP 3121 – Extension Module Initialization and Finalization,PEP 3121 – Extension Module Initialization and Finalization,Accepted
PEP 3118 – Revising the buffer protocol,PEP 3118 – Revising the buffer protocol,Final
PEP 3119 – Introducing Abstract Base Classes,PEP 3119 – Introducing Abstract Base Classes,Final
PEP 3115 – Metaclasses in Python 3000,PEP 3115 – Metaclasses in Python 3000,Final
PEP 3114 – Renaming iterator.next() to iterator.__next__(),PEP 3114 – Renaming iterator.next() to iterator.__next__(),Final
PEP 3116 – New I/O,PEP 3116 – New I/O,Final
"PEP 3106 – Revamping dict.keys(), .values() and .items()","PEP 3106 – Revamping dict.keys(), .values() and .items()",Final
PEP 3112 – Bytes literals in Python 3000,PEP 3112 – Bytes literals in Python 3000,Final
PEP 3107 – Function Annotations,PEP 3107 – Function Annotations,Final
PEP 3113 – Removal of Tuple Parameter Unpacking,PEP 3113 – Removal of Tuple Parameter Unpacking,Final
PEP 3104 – Access to Names in Outer Scopes,PEP 3104 – Access to Names in Outer Scopes,Final
PEP 3103 – A Switch/Case Statement,PEP 3103 – A Switch/Case Statement,Rejected
PEP 3105 – Make print a function,PEP 3105 – Make print a function,Final
PEP 3102 – Keyword-Only Arguments,PEP 3102 – Keyword-Only Arguments,Final
PEP 3002 – Procedure for Backwards-Incompatible Changes,PEP 3002 – Procedure for Backwards-Incompatible Changes,Final
PEP 3001 – Procedure for reviewing and improving standard library modules,PEP 3001 – Procedure for reviewing and improving standard library modules,Withdrawn
PEP 3000 – Python 3000,PEP 3000 – Python 3000,Final
PEP 3101 – Advanced String Formatting,PEP 3101 – Advanced String Formatting,Final
PEP 3100 – Miscellaneous Python 3.0 Plans,PEP 3100 – Miscellaneous Python 3.0 Plans,Final
PEP 3099 – Things that will Not Change in Python 3000,PEP 3099 – Things that will Not Change in Python 3000,Final
